iter	RMSE
0	2.44048436
1	2.431539133
2	2.421599001
3	2.412642541
4	2.402779659
5	2.393919307
6	2.384132965
7	2.37438663
8	2.364680137
9	2.355013325
10	2.346355153
11	2.336763253
12	2.327210565
13	2.318629094
14	2.309150538
15	2.299710731
16	2.290309513
17	2.280946728
18	2.271622218
19	2.263270845
20	2.254018594
21	2.244804166
22	2.235627407
23	2.227383434
24	2.218277891
25	2.209209571
26	2.200178322
27	2.191183993
28	2.182226433
29	2.173305492
30	2.164421019
31	2.155572866
32	2.147648165
33	2.13886858
34	2.131028997
35	2.122317351
36	2.113641318
37	2.105000752
38	2.096395509
39	2.087825445
40	2.080103357
41	2.071599895
42	2.063131195
43	2.054697115
44	2.046297513
45	2.038797314
46	2.03046271
47	2.022162179
48	2.014682875
49	2.006446851
50	1.998244497
51	1.990075673
52	1.981940244
53	1.974631567
54	1.966559273
55	1.958519979
56	1.950513549
57	1.943342327
58	1.936176537
59	1.929058581
60	1.92117259
61	1.913318837
62	1.905497189
63	1.898513142
64	1.890752021
65	1.883843026
66	1.876141875
67	1.869181804
68	1.861540589
69	1.853930611
70	1.846351743
71	1.838803857
72	1.832002531
73	1.824513304
74	1.817054694
75	1.810395007
76	1.802994112
77	1.795623472
78	1.788282964
79	1.781668429
80	1.774384968
81	1.767131283
82	1.75990725
83	1.75271275
84	1.74554766
85	1.738411861
86	1.731305234
87	1.724227658
88	1.717908264
89	1.710885455
90	1.703891356
91	1.696925848
92	1.690649155
93	1.684452901
94	1.678298075
95	1.671437192
96	1.664604357
97	1.657799455
98	1.651022371
99	1.644272991
100	1.638283293
101	1.632187177
102	1.625514796
103	1.618869692
104	1.612863577
105	1.60627019
106	1.600328487
107	1.593786344
108	1.587270946
109	1.580782182
110	1.574319945
111	1.567884125
112	1.561474615
113	1.555091307
114	1.548734094
115	1.542402869
116	1.536097526
117	1.52981796
118	1.523564064
119	1.517335734
120	1.511132866
121	1.504955355
122	1.498803097
123	1.49267599
124	1.486573931
125	1.480496817
126	1.474444546
127	1.468417017
128	1.462414128
129	1.457054668
130	1.451098228
131	1.445166139
132	1.4392583
133	1.433374612
134	1.427514977
135	1.421679296
136	1.415867471
137	1.410079405
138	1.404863362
139	1.399120281
140	1.393400677
141	1.387704455
142	1.382031519
143	1.376381775
144	1.370755126
145	1.365151479
146	1.35957074
147	1.354012815
148	1.348477611
149	1.342965034
150	1.337474993
151	1.332007396
152	1.32656215
153	1.321139164
154	1.315738347
155	1.310359609
156	1.305002859
157	1.299668007
158	1.294354964
159	1.289063641
160	1.283793949
161	1.2785458
162	1.273319104
163	1.268113776
164	1.262929727
165	1.25776687
166	1.25262512
167	1.247504388
168	1.24240459
169	1.237822493
170	1.232762275
171	1.227722743
172	1.222703813
173	1.217705399
174	1.21272742
175	1.20776979
176	1.202832427
177	1.197915249
178	1.193018171
179	1.188141113
180	1.183283992
181	1.178446727
182	1.173629237
183	1.168831441
184	1.164053258
185	1.159294608
186	1.154555412
187	1.14983559
188	1.145135062
189	1.14045375
190	1.135791575
191	1.131148459
192	1.126524324
193	1.121919093
194	1.117332688
195	1.112765032
196	1.108216048
197	1.103685661
198	1.099173794
199	1.094680372
200	1.090205319
201	1.085748559
202	1.081310019
203	1.076889624
204	1.072487299
205	1.068102971
206	1.063736567
207	1.059388012
208	1.055057233
209	1.05074416
210	1.046448718
211	1.042170835
212	1.037910441
213	1.033667463
214	1.029441831
215	1.025233472
216	1.021042318
217	1.016868297
218	1.01271134
219	1.008571376
220	1.004448336
221	1.000342151
222	0.9962527527
223	0.9921800715
224	0.9881240394
225	0.9840845884
226	0.9800616507
227	0.9760551588
228	0.9720650453
229	0.9680912435
230	0.9641336866
231	0.9601923081
232	0.956267042
233	0.9523578224
234	0.9484645837
235	0.9445872606
236	0.9407257879
237	0.936880101
238	0.9330501352
239	0.9292358263
240	0.9254371103
241	0.9216539235
242	0.9178862023
243	0.9141338836
244	0.9103969043
245	0.9066752018
246	0.9029687137
247	0.8992773776
248	0.8956011318
249	0.8919399144
250	0.8882936641
251	0.8846623197
252	0.8810458202
253	0.8774441049
254	0.8738571135
255	0.8702847857
256	0.8667270615
257	0.8631838814
258	0.8596551857
259	0.8561409154
260	0.8526410114
261	0.849155415
262	0.8456840677
263	0.8422269113
264	0.8387838877
265	0.8353549393
266	0.8319400083
267	0.8285390376
268	0.8251519701
269	0.8217787489
270	0.8184193175
271	0.8150736193
272	0.8117415984
273	0.8084231988
274	0.8051183649
275	0.8018270411
276	0.7985491722
277	0.7952847032
278	0.7920335794
279	0.7887957462
280	0.7855711492
281	0.7823597344
282	0.7791614479
283	0.7759762359
284	0.7728040451
285	0.7696448223
286	0.7664985143
287	0.7633650684
288	0.7602444321
289	0.7571365529
290	0.7540413787
291	0.7509588576
292	0.7478889378
293	0.7448315679
294	0.7417866965
295	0.7387542726
296	0.7357342452
297	0.7327265636
298	0.7297311775
299	0.7267480365
300	0.7237770905
301	0.7208182899
302	0.7178715847
303	0.7149369257
304	0.7120142636
305	0.7091035494
306	0.7062047341
307	0.7033177692
308	0.7004426062
309	0.6975791969
310	0.6947274932
311	0.6918874473
312	0.6890590114
313	0.6862421382
314	0.6834367804
315	0.6806428909
316	0.6778604228
317	0.6750893295
318	0.6723295643
319	0.6695810811
320	0.6668438337
321	0.6641177762
322	0.6614028627
323	0.6586990479
324	0.6560062862
325	0.6533245326
326	0.6506537419
327	0.6479938695
328	0.6453448706
329	0.6427067008
330	0.6400793159
331	0.6374626717
332	0.6348567243
333	0.6322614301
334	0.6296767454
335	0.6271026269
336	0.6245390314
337	0.6219859159
338	0.6194432375
339	0.6169109536
340	0.6143890217
341	0.6118773994
342	0.6093760446
343	0.6068849154
344	0.6044039699
345	0.6019331665
346	0.5994724638
347	0.5970218204
348	0.5945811952
349	0.5921505473
350	0.5897298359
351	0.5873190204
352	0.5849180603
353	0.5825269153
354	0.5801455453
355	0.5777739104
356	0.5754119707
357	0.5730596866
358	0.5707170186
359	0.5683839275
360	0.566060374
361	0.5637463193
362	0.5614417243
363	0.5591465506
364	0.5568607596
365	0.5545843128
366	0.5523171722
367	0.5500592996
368	0.5478106572
369	0.5455712073
370	0.5433409123
371	0.5411197347
372	0.5389076372
373	0.5367045828
374	0.5345105345
375	0.5323254555
376	0.5301493091
377	0.5279820587
378	0.5258236681
379	0.523674101
380	0.5215333213
381	0.5194012931
382	0.5172779807
383	0.5151633483
384	0.5130573606
385	0.5109599822
386	0.5088711778
387	0.5067909124
388	0.5047191512
389	0.5026558594
390	0.5006010023
