iter	RMSE
0	3595927.009
1	3459252.624
2	3331246.766
3	3215979.499
4	3112149.996
5	3015953.409
6	2922143.888
7	2837577.959
8	2757665.122
9	2679362.862
10	2614956.627
11	2550524.266
12	2485479.36
13	2431296.472
14	2385905.354
15	2335033.864
16	2287412.297
17	2243691.598
18	2203002.96
19	2166806.661
20	2132339.794
21	2099708.749
22	2071686.233
23	2046732.268
24	2018999.856
25	1994155.855
26	1972126.056
27	1948857.579
28	1927831.654
29	1906980.623
30	1891496.216
31	1875799.688
32	1860906.792
33	1848362.995
34	1835732.818
35	1823253.46
36	1811966.173
37	1802397.794
38	1791424.441
39	1782894.163
40	1774111.253
41	1766460.97
42	1759154.296
43	1750893.4
44	1743708.017
45	1735900.536
46	1727402.574
47	1720383.489
48	1713922.393
49	1708365.96
50	1703691.909
51	1698707.369
52	1694109.229
53	1688588.388
54	1683006.507
55	1678519.616
56	1674818.251
57	1671329.849
58	1667815.166
59	1664525.044
60	1660471.29
61	1657901.14
62	1655138.837
63	1652404.781
64	1649980.59
65	1645675.337
66	1643122.386
67	1639370.66
68	1635103.044
69	1632459.99
70	1630010.543
71	1627388.597
72	1624811.08
73	1621476.949
74	1618714.524
75	1615821.779
76	1614325.712
77	1612953.374
78	1609967.286
79	1607792.034
80	1604115.731
81	1602508.294
82	1599765.817
83	1598066.577
84	1596013.294
85	1594757.245
86	1592548.699
87	1591038.377
88	1590054.128
89	1587937.469
90	1586404.469
91	1584798.995
92	1583475.905
93	1582241.294
94	1580254.138
95	1578460.421
96	1577100.533
97	1574968.355
98	1574043.679
99	1572844.345
100	1571657.948
101	1570757.445
102	1568569.955
103	1566319.34
104	1565101.645
105	1564021.036
106	1562876.903
107	1561727.651
108	1560681.134
109	1559068.005
110	1557955.46
111	1555468.003
112	1553472.518
113	1552755.727
114	1551792.72
115	1550377.316
116	1548583.035
117	1547092.891
118	1545820.891
119	1543963.605
120	1542134.22
121	1540840.907
122	1539622.293
123	1538400.588
124	1536305.096
125	1534948.24
126	1532960.117
127	1532452.827
128	1531622.748
129	1530651.639
130	1529725.741
131	1528963.155
132	1527881.02
133	1526283.235
134	1525549.103
135	1524524.052
136	1523090.513
137	1522336.994
138	1521151.141
139	1519927.233
140	1519392.016
141	1518077.631
142	1516564.21
143	1515135.451
144	1513142.52
145	1510813.154
146	1510101.03
147	1509143.5
148	1508458.41
149	1507454.517
150	1506441.432
151	1506092.998
152	1505243.335
153	1503941.591
154	1502550.243
155	1501539.555
156	1500915.985
157	1498713.226
158	1497083.388
159	1496576.537
160	1495832.701
161	1494918.649
162	1494581.745
163	1493869.234
164	1493238.611
165	1492729.556
166	1491560.661
167	1490119.555
168	1489099.759
169	1487838.309
170	1487339.34
171	1486622.751
172	1485583.185
173	1485253.245
174	1484223.117
175	1483834.543
176	1483222.167
177	1482700.565
178	1481895.519
179	1481044.962
180	1480286.677
181	1479913.655
182	1478759.496
183	1477928.348
184	1477371.264
185	1476880.217
186	1476002.969
187	1475601.14
188	1474167.76
189	1473669.915
