iter	Passed	Remaining
0	30	30453
1	82	41090
2	122	40720
3	166	41541
4	206	41187
5	245	40723
6	294	41739
7	329	40917
8	382	42142
9	423	41933
10	467	41996
11	504	41577
12	544	41340
13	593	41781
14	636	41810
15	713	43884
16	774	44811
17	831	45375
18	893	46117
19	942	46206
20	992	46251
21	1040	46263
22	1093	46429
23	1137	46242
24	1179	45989
25	1223	45818
26	1254	45201
27	1288	44739
28	1321	44253
29	1361	44027
30	1401	43807
31	1484	44911
32	1535	44985
33	1557	44250
34	1585	43709
35	1623	43467
36	1660	43226
37	1692	42835
38	1723	42466
39	1754	42118
40	1786	41797
41	1823	41596
42	1865	41508
43	1900	41282
44	1931	40997
45	1961	40685
46	1989	40347
47	2023	40125
48	2053	39849
49	2087	39664
50	2112	39314
51	2146	39139
52	2184	39037
53	2208	38689
54	2233	38371
55	2266	38200
56	2302	38094
57	2333	37892
58	2363	37691
59	2389	37429
60	2473	38081
61	2518	38104
62	2564	38149
63	2598	38008
64	2632	37873
65	2671	37800
66	2703	37649
67	2737	37525
68	2767	37347
69	2801	37221
70	2832	37064
71	2862	36897
72	2894	36751
73	2920	36541
74	2947	36356
75	2978	36209
76	3008	36057
77	3037	35910
78	3068	35777
79	3101	35671
80	3133	35549
81	3164	35427
82	3219	35570
83	3242	35361
84	3273	35240
85	3297	35046
86	3320	34849
87	3347	34695
88	3370	34496
89	3404	34420
90	3444	34405
91	3492	34472
92	3541	34541
93	3583	34542
94	3612	34414
95	3649	34370
96	3688	34337
97	3741	34435
98	3763	34252
99	3791	34125
100	3818	33990
101	3846	33862
102	3877	33767
103	3910	33687
104	3940	33584
105	3967	33460
106	3993	33332
107	4017	33179
108	4046	33078
109	4074	32964
110	4102	32854
111	4128	32735
112	4160	32659
113	4195	32606
114	4225	32520
115	4253	32413
116	4287	32357
117	4319	32283
118	4349	32203
119	4379	32114
120	4410	32043
121	4442	31972
122	4472	31891
123	4502	31805
124	4531	31723
125	4562	31650
126	4602	31637
127	4632	31558
128	4679	31597
129	4711	31531
130	4761	31586
131	4794	31525
132	4830	31487
133	4882	31556
134	4933	31613
135	4981	31648
136	5034	31714
137	5083	31752
138	5127	31761
139	5198	31935
140	5240	31926
141	5277	31890
142	5327	31926
143	5363	31882
144	5426	32000
145	5468	31984
146	5556	32242
147	5607	32281
148	5685	32471
149	5742	32538
150	5794	32581
151	5859	32688
152	5905	32693
153	5969	32792
154	6008	32758
155	6045	32708
156	6084	32672
157	6141	32726
158	6179	32686
159	6208	32593
160	6240	32519
161	6282	32500
162	6325	32478
163	6362	32432
164	6413	32455
165	6452	32418
166	6534	32594
167	6604	32709
168	6660	32752
169	6702	32725
170	6738	32670
171	6779	32637
172	6828	32641
173	6902	32767
174	6953	32779
175	6999	32768
176	7027	32677
177	7061	32608
178	7089	32515
179	7137	32513
180	7200	32582
181	7227	32482
182	7265	32434
183	7302	32383
184	7331	32300
185	7361	32216
186	7389	32125
187	7422	32057
188	7452	31979
189	7503	31988
190	7549	31978
191	7586	31926
192	7617	31852
193	7647	31771
194	7677	31693
195	7708	31621
196	7740	31552
197	7766	31459
198	7816	31462
199	7849	31399
200	7883	31339
201	7924	31305
202	7983	31343
203	8020	31293
204	8058	31252
205	8111	31265
206	8144	31200
207	8166	31095
208	8197	31025
209	8223	30934
210	8257	30876
211	8288	30806
212	8319	30739
213	8365	30724
214	8401	30675
215	8445	30652
216	8481	30605
217	8518	30558
218	8555	30510
219	8594	30470
220	8639	30453
221	8678	30415
222	8732	30425
223	8766	30371
224	8805	30331
225	8839	30273
226	8872	30212
227	8907	30159
228	8940	30102
229	8974	30046
230	9015	30012
231	9047	29948
232	9082	29899
233	9114	29835
234	9146	29774
235	9179	29716
236	9224	29695
237	9261	29651
238	9295	29598
239	9330	29546
240	9371	29513
241	9411	29477
242	9455	29456
243	9512	29473
244	9552	29438
245	9597	29416
246	9636	29379
247	9667	29314
248	9709	29285
249	9749	29248
250	9789	29212
251	9824	29162
252	9859	29112
253	9899	29074
254	9932	29018
255	9966	28964
256	10002	28917
257	10033	28855
258	10068	28804
259	10099	28744
260	10134	28694
261	10173	28655
262	10235	28683
263	10292	28695
264	10353	28716
265	10410	28726
266	10474	28755
267	10531	28764
268	10608	28827
